nbatches,train_loss_classifier,train_loss_box_reg,train_loss_objectness,train_loss_rpn_box_reg,val_loss_classifier,val_loss_box_reg,val_loss_objectness,val_loss_rpn_box_reg'
10100,0.0,0.0,0.6911095559597016,0.016104705855250357,0.0,0.0,0.07601107835769653,0.001690188110806048
10200,0.0,0.0,0.6911081701517106,0.016447007828392087,0.0,0.0,0.07601829171180725,0.0015219828765839338
10300,0.0,0.0,0.6911018800735473,0.016008471173699947,0.0,0.0,0.07601446986198425,0.0018181486707180739
10400,0.0,0.0,0.691117924451828,0.0164029688667506,0.0,0.0,0.07601486682891846,0.0016737312497571112
10500,0.0,0.0,0.6911291354894638,0.016662683109752833,0.0,0.0,0.07601430296897888,0.0016924138367176056
10300,0.0,0.0,0.6911113476753235,0.01642810492310673,0.0,0.0,0.07602181732654571,0.001687599690631032
10400,0.0,0.0,0.6911102372407913,0.016553495002444834,0.0,0.0,0.07602309226989747,0.001519928895868361
10500,0.0,0.0,0.6911128616333008,0.016921407231129705,0.0,0.0,0.07600408136844634,0.001666583102196455
10600,0.0,0.0,0.6911105513572693,0.01678404211066663,0.0,0.0,0.07601262629032135,0.0015129324374720454
10700,0.0,0.0,0.6910910141468048,0.016575810974463822,0.0,0.0,0.07602058827877045,0.0015905923908576369
10800,0.0,0.0,0.6911036497354508,0.016398899354971946,0.0,0.0,0.0760177892446518,0.0015764846839010716
10900,0.0,0.0,0.6910943531990051,0.01629785940051079,0.0,0.0,0.07600324392318726,0.0016652541421353817
11000,0.0,0.0,0.6910849583148956,0.016818794519640506,0.0,0.0,0.07602130055427551,0.0017381635075435042
11100,0.0,0.0,0.6911079013347625,0.01654511766973883,0.0,0.0,0.07600880801677704,0.0015593577944673599
11200,0.0,0.0,0.6911271208524704,0.0165253170626238,0.0,0.0,0.07601561665534973,0.0016717305546626448
11300,0.0,0.0,0.6911008816957473,0.01675897276494652,0.0,0.0,0.07600253999233246,0.0016791837569326163
11400,0.0,0.0,0.6910926753282547,0.016551120094954967,0.0,0.0,0.07601908445358277,0.001532093535643071
11500,0.0,0.0,0.6911036759614945,0.016597894537262618,0.0,0.0,0.07601137101650238,0.001653353562578559
11600,0.0,0.0,0.6911219686269761,0.016522804824635386,0.0,0.0,0.07600794970989228,0.0016172606125473977
11700,0.0,0.0,0.6911031264066696,0.016719773537479343,0.0,0.0,0.07601210236549377,0.0016147475130856037
11800,0.0,0.0,0.6911315017938614,0.01680777810048312,0.0,0.0,0.07601877450942993,0.001667255382053554
11900,0.0,0.0,0.6911041730642319,0.016679367045871914,0.0,0.0,0.07601001799106598,0.0016461585089564323
12000,0.0,0.0,0.6911113488674164,0.016595672545954586,0.0,0.0,0.07601728260517121,0.0016390950046479703
12100,0.0,0.0,0.6911103737354278,0.016593139837495982,0.0,0.0,0.07600116610527038,0.0017359729204326868
12200,0.0,0.0,0.6910974794626236,0.01650111989118159,0.0,0.0,0.07601589977741241,0.001782516478560865
12300,0.0,0.0,0.691084765791893,0.017144455458037555,0.0,0.0,0.07600936353206635,0.0016501588793471455
12400,0.0,0.0,0.6911019730567932,0.01697596211452037,0.0,0.0,0.0760145616531372,0.0016340778116136789
12500,0.0,0.0,0.691095312833786,0.016775133656337857,0.0,0.0,0.07601935088634491,0.0017573612555861473
