nbatches,train_loss,val_loss
51,0.7046963803780576,0.7118081405758858
100,0.7076076894858851,0.7057185597209767
200,0.7076893419027328,0.7057391546920619
300,0.7073455959511921,0.7059562962332909
400,0.7079303819639609,0.7062435409223492
500,0.7080717563536019,0.7051761097444053
600,0.7070899676904082,0.7062024281952869
700,0.7075234753545374,0.7073333596133373
800,0.7077535957237706,0.7060851500454274
900,0.7074817418609746,0.7058315771123902
1000,0.707743650842458,0.7060199621218172
1100,0.707385754743591,0.7064961814744906
1200,0.7077631612517871,0.7068729597059163
1300,0.7073658508248627,0.7064254524778913
1400,0.7072981702815742,0.7068032620220699
1500,0.707530113500543,0.706001332114366
1600,0.7074828756647185,0.7051219864833084
1700,0.7072962866141461,0.7060509693639522
1800,0.7076611192384735,0.707507385999303
1900,0.7076768842153252,0.7054171333174136
2000,0.7074910671589896,0.7055713604627685
2100,0.7075185912474989,0.7056607780131426
2200,0.7074308381811716,0.7065914680503986
2300,0.7074069584114477,0.7059967245229266
2400,0.7080947478022427,0.7074263014153324
2500,0.7077026669960469,0.7065478497269478
2600,0.7079955272888765,0.7053376238962467
2700,0.7075781713845208,0.707364259287715
2800,0.7074340078420938,0.7049857712012123
2900,0.7081937476620078,0.7056441581384703
3000,0.7070176540268585,0.7063466276211495
3100,0.7075704093975946,0.7067928911102089
3200,0.7078753564204089,0.7072792739014734
3300,0.7074525529704988,0.7061941605484621
3400,0.7079251624271273,0.7061893564479594
3500,0.7083401083853096,0.7068482417274605
3600,0.707600884209387,0.7067381912334398
3700,0.7073563400213607,0.7059035925617949
3800,0.707655487852171,0.7076367630877278
3900,0.7076482043578289,0.7057688756083901
4000,0.7080544766318053,0.7057931287298825
4100,0.7083369399607181,0.7060064602304589
4200,0.7074031639751047,0.7061029861427166
4300,0.7072258776286617,0.7061732032928955
4400,0.7074686977034434,0.7060119564094666
4500,0.7078318874863908,0.7060194461691108
4600,0.707616536160931,0.7057401214048944
4700,0.7079232263425365,0.7057390157133341
4800,0.7076038352539763,0.7062634496780281
4900,0.7077720340131782,0.7066914204254069
5000,0.7077316808281466,0.7056743682108142
5100,0.7078687954088673,0.705913198900155
5200,0.7080897122900933,0.7085430820218541
5300,0.7074473561393098,0.7046903235922483
5400,0.7074932288308627,0.7061961111612618
5500,0.7076199783338234,0.7072323072617027
5600,0.7076900416100398,0.7072187287055633
5700,0.7076808788720519,0.706298874754628
5800,0.7074311960535123,0.7055620157413862
5900,0.7073993955040351,0.7066807202910158
6000,0.7078545932332054,0.7058132675645704
6100,0.7071428147214465,0.7066346444189548
6200,0.707998323678039,0.7073259674097326
6300,0.7079904300323687,0.705916230736131
6400,0.7080261809774675,0.706425083885816
6500,0.707604860663414,0.7049239129674706
6600,0.7071806870540605,0.7070809849114581
6700,0.7078378809429705,0.7064985158768567
6800,0.7072484272159636,0.7056861793283712
6900,0.7079557829210534,0.7071370430798694
7000,0.7078989029303193,0.7059609707106244
7100,0.7076288787415251,0.7064998532560739
7200,0.7078297375049442,0.7076021647927436
7300,0.7080257238028571,0.7064063017341223
7400,0.7078955821599812,0.7053233131088994
7500,0.7079343190649524,0.7067453749477863
7600,0.7078934621578082,0.7061551659452644
7700,0.7074508061539382,0.7052867106924002
7800,0.7076772203017027,0.7085534914142706
7900,0.7078321964200586,0.7059489831497724
8000,0.7079744542273693,0.7056025039743293
8100,0.7075493655959144,0.7058609906499359
8200,0.7076616165041923,0.7065412539311431
8300,0.7076765716774389,0.7072320204143497
8400,0.7075519741047174,0.7074115343222563
8500,0.7080068367207423,0.7069843170148405
8600,0.707817765539512,0.7049479263580658
8700,0.7078985561360605,0.7049020924605429
8800,0.7078998840902933,0.7058727345006033
8900,0.7078293479140848,0.7058060567995365
9000,0.7076786808902398,0.7063541533848778
9100,0.7071536398981698,0.7076406690546058
9200,0.7077261061640456,0.7068727878345684
9300,0.7077026028651744,0.7056882270950485
9400,0.707456870211754,0.708306226117367
9500,0.7077171981194987,0.7074169021269138
9600,0.7076708459411748,0.7061759523031387
9700,0.7076958512654528,0.7056363429027525
9800,0.7077606557356194,0.7069035147909414
9900,0.7076779362629168,0.706813576927578
10000,0.7078165903035551,0.7051194371994246
